 ,Module Code,,Module Title,Assess Code,Resit Assesment Code,Examiner,Assessment Title,Duration,Methodology,Reviewer,ASMG Monitor,External Examiner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 28206,LM,LM Comp-Aided Verif Ext,A31667,A32847,Dave Parker,Computer Aided Verification (Extended),01:30,Written Unseen,Flavio Garcia,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 30017,LM,LM Advanced Cryptography,A32764, ,David Galindo,Advanced Cryptography,01:30,Written Unseen,Eike Ritter,Dave Parker,Feng Hao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 20008,LM,LM Cryptography,A22648, ,David Galindo,Cryptography,01:30,Written Unseen,David Oswald,Eike Ritter,Feng Hao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 28214,LM,LM Designing Secure Systems,A31673,A32180,David Galindo,Designing Secure Systems,01:30,Written Unseen,Christophe Petit,Ian Batten,Feng Hao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 30016,LM,LM Forensics + Malware Analysi,A32763, ,David Oswald,Forensics and Malware Analysis,01:30,Written Unseen,Christophe Petit,Eike Ritter,Feng Hao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 28217,LM,LM Hardware and Embedded Systems Security,A31675,A32169,David Oswald,Hardware and Embedded Systems Security,01:30,Written Unseen,Flavio Garcia,Ian Batten,Feng Hao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 28201,LH,LH Computer-Aided Verification,A31666,A32181,David Parker,Computer-Aided Verification,01:30,Written Unseen,Eike Ritter,Martin Escardo,Feng Hao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 21155,LC,LC Language + Logic,A24403,A24404,David Parker,Language and Logic,01:30,Written Unseen,Peter Hancox,Mark Lee,Guy McCusker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 20008,LM,LM Cryptography,A31344, ,Eike Ritter,Cryptography (Special paper),01:30,Written Unseen,David Oswald,Eike Ritter,Feng Hao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 26265,LI,LI Intro to Computer Security,A30303,A30304,Eike Ritter,Introduction to Computer Security,01:30,Written Unseen,Hayo Thielecke,Ian Batten,Dimitar Kazakov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
