 ,Module Code,,Module Title,Assess Code,Resit Assesment Code,Examiner,Assessment Title,Duration,Methodology,Reviewer,ASMG Monitor,External Examiner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 27113,LM,LM Software Engineer 1 (Ext),A30974,A30975,Phil Smith,Software Engineer 1 (Extended),01:30,Written Unseen,Rami Bahsoon,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 21936,LM,LM Fundamentals: Software Engineering,A27229,A27842,Rami Bahsoon,Fundamentals: Software Engineering,01:30,Written Unseen,Alan Sexton,Per Kristian Lehre,William Harwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 25078,LC,LC ICY Software Engineering,A29422,A30879,Rami Bahsoon,ICY Software Engineering,01:30,Written Unseen,Alan Sexton,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 27114,LM,LM Software Engineer 2 (Ext),A30976,A30977,Rami Bahsoon,Software Engineer 2 (Extended),01:30,Written Unseen,Kashif Rajpoot,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 27113,LM,LM Software Engineer 1 (Ext),A32546,A30975,Rami Bahsoon,Software Engineering 1 (Extended) (Special Paper),01:30,Written Unseen,Rami Bahsoon,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 26425,LI,LI Software Engineering 1 ,A,A30402,Rami Bahsoon,Software Engineering 1 (Special),01:30,Written Unseen,Alan Sexton,Iain Styles,Dimitar Kazakov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 26426,LI,LI Software Engineering 2,A30403,A30404,Rami Bahsoon,Software Engineering 2,01:30,Written Unseen,Kashif Rajpoot,Peter Tino,Guy McCusker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 28936,LI,LI Introductory Databases,A32544,A32751,Robert Hendley,Introductory Databases,01:30,Written Unseen,Ian Batten,Mark Lee,Guy McCusker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 25020,LM,LM Adv Human-Comp Int,A29398,A30097,Rowanne Fleck,Advanced Human-Comp Interaction,01:30,Written Unseen,Andrew Howes,Mark Lee,Roderick Murray-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 22133,LH,LH Human Computer Interact,A29686,A26539,Rowanne Fleck,Human Computer Interaction,01:30,Written Unseen,Andrew Howes,Per Kristian Lehre,Dimitar Kazakov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 30512,LM,LM Human Computer Theory and Practice,A33081,A33082,Rowanne Fleck,Human Computer Interaction Theory and Practice,01:30,Written Unseen,Russell Beale,Andrew Howes,Roderick Murray-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 21923,LM,LM Fundamentals: Databases,A27227,A27843,Russell Beale,Fundamentals: Databases,01:30,Written Unseen,Alan Sexton,Ela Claridge,William Harwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 21923,LM,LM Fundamentals: Databases,A32655,A27843,Russell Beale,Fundamentals: Databases (15/16) (Special Paper),01:30,Written Unseen,Alan Sexton,Ela Claridge,William Harwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 21923,LM,LM Fundamentals: Databases,,A27843,Russell Beale,Fundamentals: Databases (16/17) (Special Paper),01:30,Written Unseen,Alan Sexton,Ela Claridge,William Harwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 21980,LC,LC ICY: Databases,A27239,A27844,Russell Beale,ICY: Databases,01:30,Written Unseen,Alan Sexton,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 29289,LH,LH Mob & Ubiquitous Computing,A32357,A32358,Sandy Gould,Mobile & Ubiquitous Computing,02:00,Written Unseen,Ian Batten,Eike Ritter,Roderick Murray-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 25689,LM,LM Mobile + Ubiq Comp (Ext),A29400,A31803,Sandy Gould,Mobile and Ubiquitous Computing (Extended),02:00,Written Unseen,Ian Batten,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 21978,LC,LC ICY: Intro to Comp Sci,A27238,A27915,Steve Vickers,ICY: Introduction to Computer Science,01:30,Written Unseen,Uday Reddy,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 05934,LI,LI Models of Computation,A06472,A07563,Steve Vickers,Models Of Computation,01:30,Written Unseen,Achim Jung,Martin Escardo,Guy McCusker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 21933,LM,LM Fundamentals: Intro CompSci,A29836,A27862,Steven Vickers,Fundamentals: Introduction to  Computer Science (Special Paper),01:30,Written Unseen,Eike Ritter,Dave Parker,William Harwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 21933,LM,LM Fundamentals: Intro CompSci,A27228,A27862,Steven Vickers,Fundamentals: Introduction to Computer Science,01:30,Written Unseen,Eike Ritter,Dave Parker,William Harwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 26265,LI,LI Intro to Computer Security,A31933,A30304,Tom Chothia,Intro to Computer Security (Special paper),01:30,Written Unseen,Hayo Thielecke,Ian Batten,Dimitar Kazakov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 21921,LM,LM Fundamentals: Data Struct,A27544,A27545,Tomas Jakl,Fundamentals: Data Structures,01:30,Written Unseen,Achim Jung,Dave Parker,William Harwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 21977,LC,LC ICY: Data Struct Algorithms,A27237,A29312,Tomos Jakl,ICY: Data Structures and Algorithms,01:30,Written Unseen,Uday Reddy,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 26954,LM,LM Principle Prog Lang (Ext),A32543, ,Uday Reddy,Principle Programming Languages (Extended),01:30,Written Unseen,Paul Levy,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 02552,LH,LH Principles of Prog Languages,A19581,A15466,Uday Reddy,Principles of Programming Languages,01:30,Written Unseen,Eike Ritter,Martin Escardo,Guy McCusker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 26264,LI,LI Reasoning,A30301,A30302,Volker Sorge,Reasoning,01:30,Written Unseen,Mark Lee,Martin Escardo,Guy McCusker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
